periodsEnd,runs,printPeriodData,printEveryNPeriods,dataTakingForm
10000,100,0,1,0
Marker,N,bmean,bstdev,econInt,burStr,burFear,Mean_Percent_Acting,StDev_Percent_Acting,Mean_Eq_Percent_Acting,StDev_Eq_Percent_Acting,Mean_Time_to_Equilibrium,StDev_Time_to_Equilibrium,Mean_%_Population_Who_Are_Rabble-Rousers,StDev_%_Population_Who_Are_Rabble-Rousers
99,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999300000000008,0.0002931886695621032,0.9999300000000008,0.0002931886695621032,54.059999999999924,0.23868325657594192,0.022709999999999998,0.004468283289536995
100,1000.0,0.6,0.2,0.0,0.4,0.0,0.9999100000000009,0.0003208259542638239,0.9999100000000009,0.0003208259542638239,54.01999999999993,0.2,0.022450000000000008,0.0047490030851780165
101,1000.0,0.6,0.2,0.0,0.5,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,59.61999999999999,3.1775093479902856,0.022219999999999993,0.00454734910012238
102,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999900000000007,0.00010000000000000025,0.9999900000000007,0.00010000000000000025,58.000000000000036,1.3926212476455826,0.02257,0.00494465326990639
103,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999900000000007,0.00010000000000000028,0.9999900000000007,0.00010000000000000028,57.01000000000003,0.7848952835000392,0.02261,0.004898762985476925
104,1000.0,0.6,0.2,0.0,0.5,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.47000000000003,0.7171069824248157,0.023189999999999985,0.005068610073857336
105,1000.0,0.6,0.2,0.0,0.5,0.0,1.0000000000000007,6.694896738718451e-16,1.0000000000000007,6.694896738718451e-16,56.06000000000004,0.5829219328503433,0.022960000000000008,0.004653487884904127
106,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999900000000007,0.00010000000000000015,0.9999900000000007,0.00010000000000000015,55.69000000000001,0.5978919195596706,0.022770000000000002,0.004635948684144402
107,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999800000000006,0.00014070529413628993,0.9999800000000006,0.00014070529413628993,55.409999999999975,0.5143398239932964,0.023419999999999996,0.004675705532026392
108,1000.0,0.6,0.2,0.0,0.5,0.0,0.9999700000000007,0.0001714466079977652,0.9999700000000007,0.0001714466079977652,55.15999999999992,0.3684529491774708,0.02335,0.004297932319409209
